food,calories,protein,carbohydrates,fat
"restaurant, chinese, sweet and sour pork",260.0,8.88,25.5,13.6
"restaurant, latino, pupusas con frijoles (pupusas, bean)",229.0,5.59,31.5,9.01
"restaurant, latino, tamale, pork",728.0,7.38,15.8,9.04
"sauce, pasta, spaghetti/marinara, ready-to-serve",45.0,1.41,8.05,1.48
"sauce, salsa, ready-to-serve",29.0,1.44,6.74,0.19
"sausage, italian, pork, mild, cooked, pan-fried",322.0,18.2,2.15,26.2
"sausage, breakfast sausage, beef, pre-cooked, unprepared",1370.0,13.3,3.37,28.7
"sausage, pork, chorizo, link or ground, cooked, pan-fried",1450.0,19.3,2.63,28.1
"sausage, turkey, breakfast links, mild, raw",169.0,16.7,0.93,10.4
"seeds, sunflower seed kernels, dry roasted, with salt added",2560.0,21.0,17.1,56.1
"strawberries, raw",132.0,0.64,7.63,0.22
"sugars, granulated",385.0,0.0,99.6,0.32
"tomatoes, canned, red, ripe, diced",76.0,0.84,3.32,0.5
"tomatoes, grape, raw",113.0,0.83,5.51,0.63
"turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",922.0,27.1,0.0,11.6
"yogurt, greek, plain, nonfat",61.0,10.3,3.64,0.37
"yogurt, greek, strawberry, nonfat",347.0,8.06,12.2,0.15
